Format Code ,Units Sold ,Format ,Ratecard ,Description 
BM-D1-Leaderboard ,"Impressions (15,000)",728x90 display ,"£2,200  ",Leaderboard banner on web 
BM-D2-Super Leaderboard ,"Impressions (20,000)",970x90 display ,"£2,700  ",Super Leaderboard Banner on web 
BM-D3-Double MPU ,"Impressions (20,000)",300x600 display ,"£3,250  ",Double MPU on web  
BM-D4-Billboard ,"Impressions (25,000)",970x250 display ,"£3,250  ",Billboard on web 
BM-D5-MPU ,"Impressions (15,000)",350x250 display ,"£1,900  ",MPU on web 
BM-D7-Leaderboard Mobile,"Impressions (15,000)",320x50 display ,"£1,650 ",Leaderboard on mobile site 
BM-S1-Content Hub ,Package of ads and content hosting ,"BM-D4-Billboard
Hero banner
Logo
Content to be housed in hub
Traffic campaigns via emails to drive agreed % of traffic. ","£60,000-£180,000 dependent on site ","Full category ownership of key industry content themes. Sponsorship includes hero banner, billboard advertising and sponsor content elevated to primary position in hub. "
BM-S2-Newsletter Sponsorship ,"Weekly or monthly sponsorship of a newsletter -  5,10 or 20 sends per month ","Top newsletter banner 
BM-S3-Newsletter Sponsor Placement (“In partnership with” clickable logo"")","£3,500 for 5 sends ",Sponsor logo and bottom leaderboard banner in weekly newsletter. 5 sends per week or 20 per month.  
BM-D6-Newsletter Banner,Impressions ,728x90 top newsletter banner ,N/A not for sale alone  ,Sold as part of (BM-S2-Newsletter Sponsorship) only
BM-S3-Newsletter  Sponsor Placement ,"Weekly or monthly sponsorship 5,10 or 20 sends per month ",A sponsored content link in Our newsletter links a clients  content on their website or hosted with us  ( pay extra for our site hosting) ,"£2,500 for 5 sends  ","One hyperlinked headline, sponsored by top and bottom ad banners + one sentence explaining the story’s content. 5 sends per week or 20 per month.  "
BM-S8-SA-Newsletter Category Sponsorship-Movers & Shakers,Weekly or Monthly (for now) - 5 sends/week,"Movers & Shakers sponsored category section in our newsletter linking directly to the client's third party content or to hosted resource on our website if NA/SA booked with product. Valid across all publications (AA, CFO, GT and BOB)","£3,000 for 5 sends ","Movers & Shakers Category Sponsor, including logo and link to the client's website, and include the client's logo. 5 sends per week or 20 per month.  "
BM-S8-TBI-Newsletter Category Sponsorship-The Big Interview,Weekly or Monthly (for now) - 5 sends/week,"The Big Interviewe sponsored category section in our newsletter linking directly to the client's third party content or to hosted resource on our website if NA/SA booked with product. Valid across all publications (AA, CFO, GT and BOB)","£3,000 for 5 sends ","The Big Intrview Category Sponsor, including logo and link to the client's website, and include the client's logo. 5 sends per week or 20 per month.  "
